Section,Field Name,Required?,Field Validation,Product Notes,AI use case?,Edge case triggers
"
Invoice Details",Company Name,"
Mandatory","
Selected from Master","Context: Company Name refers to the Company the invoice is addressed to. This applies to firms with multiple sub-entities, each operating their own seperate order book, and approval workflow. 
OCR Possible: We can fetch the company name from the invoice using OCR, and then match it with the Company Names in the master*.",Maybe in edge cases to trigger a sequence of steps in case the company name is not available in the Master,Yes
"
Invoice Details",Department,"
Mandatory","
Selected from Master","Context: This is an internal attribute, used by firms to segregate the approval workflow based on department. 
OCR Not possible: As this is an internal variable, that the human needs to manually assign, this value can't be auto-populated",Yes,Yes
"
Invoice Details",Sub-department,"
Mandatory","
Selected from Master","Context: This is an internal attribute, used by firms to segregate the approval workflow based on department. 
OCR Not possible: As this is an internal variable, that the human needs to manually assign, this value can't be auto-populated",Yes,Yes
"
Invoice Details","
Vendor Name / Vendor Code","
Mandatory","
Selected from Master","Context: Vendor Name refers to the Vendor raising the invoice. 
OCR Possible: We can fetch the vendor name from the invoice using OCR, and then match it with the Vendor Names in the master*.",Maybe in edge cases to trigger a sequence of steps in case the company name is not available in the Master,Yes
"
Invoice Details","
Invoice Number","
Mandatory","
Free Text (Alpha Numeric)","Context: Invoice  Number refers to the unique number specified as the invoice number on the invoice. 
OCR Possible: Simple fetch and paste. ",,
"
Invoice Details","
Invoice Date","
Mandatory","
Date","Context: Invoice  Number refers to the unique number specified as the invoice number on the invoice. 
OCR Possible: Simple fetch and paste. ",,
"
Invoice Details","
Payment Due Date","
Mandatory","
Date","Context: This due date is calculated by adding the credit period to the date of invoice. 
System Generated: This date is calculated based on the credit period for the selected vendor. The credit period is fixed for a vendor.  ",,
"
Invoice Details","
Fiscal Year","
Mandatory","
Year","Context: This is to record the fiscal year for the invoice. 
System Generated: Automatically pick year the invoice is submitted in, but user can switch the year if needed",,
"
Invoice Details ","
E-invoice","
Mandatory","
Boolean (Yes/ No)","
OCR Possible: Can be auto-detected if the uploaded invoice has a QR code",,
"
Invoice Details ","
IRN","
Optional/ Mandatory if found.","
Alpha Numeric","
Context: The Invoice Reference Number (IRN) is a unique number (also known as hash) generated by the Invoice Registration Portal (IRP) using a hash generation algorithm, under the e-invoicing system. For every document such as an invoice or debit or credit note to be submitted on the Invoice Registration Portal, a 64 character invoice reference number shall be generated. This number shall be unique for every invoice raised in a financial year by a GSTIN in the entire GST system.
OCR Possible: An IRN is registered on the OCR output, then this field is fetched. else this number can be left blank.",,
